Min1,Max1,Mean1,Min2,Max2,Mean2,Min6,Max6,Mean6
35,47.4,43.9545,0,1.7,0.42625,0,1.79,0.493291667
33,47.75,42.1798125,0,3,0.696041667,0,2.18,0.613520833
33,45.75,41.6780625,0,2.83,0.535979167,0,1.79,0.383291667
37,48,43.45495833,0,1.58,0.378083333,0,5.26,0.679645833
36.25,48,43.969125,0,1.5,0.413125,2.96,0.5553125,
21,50,32.58620833,0,9.9,0.516125,0,13.61,1.162041667
27.5,33,29.8819375,0,1,0.2564375,0,6.4,0.701625
19,45.5,30.93810417,0,6.4,0.467166667,0,6.73,1.107354167
22,44.67,37.05870833,0,14.17,2.438145833,0,8.55,2.98375
19,44,36.22839583,0,12.28,2.8316875,0,9.98,3.4806875
26.5,44.33,36.68729167,0,12.89,2.973041667,0,8.19,3.0733125
25.33,45,37.1143125,0,10.84,2.73,0,9.5,3.076354167
26.75,44.75,36.863375,0,11.68,2.7573125,0,8.81,2.7733125
26.25,44.25,36.95745833,0,8.64,2.420083333,0,8.34,2.934625
27.75,44.67,37.14483333,0,10.76,2.4190625,0,8.75,2.8224375
27,45,36.81952083,0,10.47,2.600145833,0,8.99,2.8875625
27,44.33,36.54166667,0,10.43,2.847958333,0,9.18,3.225458333
18.5,44.25,35.75235417,0,12.6,3.328104167,0,9.39,3.069666667
19,43.75,35.879875,0,11.2,3.4143125,0,8.5,3.093020833
23.33,43.5,36.24408333,0,9.71,2.736020833,0,11.15,3.5305
48,48.25,48.00416667,0,0.43,0.007166667,0,2.5,0.641229167
34,51,42.7060625,0,4.85,0.5198125,0,4.97,0.5493125
39,41,39.66783333,0,1,0.583604167,0,3.49,0.6359375
0,40.67,39.5061875,0,1,0.496479167,0,3.19,0.622916667
39,40,39.43379167,0,1,0.422104167,0,4.06,0.582708333
39,40,39.34710417,0,0.5,0.366395833,0,3.5,0.588458333
39,56.25,47.325125,0,8.49,0.2743125,0,5.72,0.766166667
23.5,30,27.716375,0,1.79,0.3636875,0,4.5,0.735395833
48,48.25,48.00416667,0,0.43,0.007166667,0,2.5,0.641229167
39,41,39.66783333,0,1,0.583604167,0,3.49,0.6359375
39,40,39.43379167,0,1,0.422104167,0,4.06,0.582708333
39,56.25,47.325125,0,8.49,0.2743125,0,5.72,0.766166667
44.5,46.75,45.23966667,0,1,0.172958333,0,8.2,0.83725
42.5,46,44.75395833,0,1.12,0.153916667,0,4.3,0.764083333
25.5,45.75,36.5600625,0,12.19,0.422166667,0,6.26,0.854833333
27,38.67,32.90597917,0,2.49,0.45675,0,5.12,0.791354167
27.5,50.75,38.888375,0,6.06,0.3834375,0,5.17,0.840208333
42,45,42.8219833,0,1.12,0.335678497,0,6.36,0.856012526
41.75,46.5,43.19085417,0,1.5,0.266270833,0,5.45,0.806229167
35.25,48.5,40.21927083,0,3.28,0.617479167,0,6.36,1.057729167
28.5,48.25,43.88483333,0,3.28,0.517354167,0,7,1.354916667
39.5,45,42.11158333,0,1.09,0.3419375,0,6.36,0.961166667
39.67,44.75,42.28266667,0,1,0.498354167,0,7.85,0.869
40,44.67,42.3601875,0,1,0.4825,0,4.64,0.7198125
32.75,47,42.7605625,0,3.34,0.486166667,0,5.73,0.842270833
30,46.67,42.64852083,0,2.95,0.402833333,0,4.64,0.917354167
36,47.5,43.72002083,0,1.92,0.366708333,0,6.18,1.0396875
34.5,47.75,44.47114583,0,2.18,0.290479167,0,4.32,0.927375
35.5,48,46.2249375,0,4.5,0.312354167,0,6,0.882583333
29.75,48,46.93220833,0,4.6,0.429666667,0,6.58,0.991125
36.33,47.67,45.399625,0,1.66,0.460145833,0,4.5,0.795104167
36,45.8,42.41991667,0,2.12,0.4605625,0,6.65,1.226270833
37,48.25,42.51695833,0,2.12,0.4406875,0,6.85,0.977416667
36.25,45.5,42.95935417,0,2.6,0.352875,0,4,0.748479167
36,47.33,42.67458333,0,2.17,0.419166667,0,3.77,0.702041667
36.25,45.75,43.18752083,0,2.83,0.271270833,0,3.83,0.645458333
15,46.75,34.66058333,0,13.44,4.200895833,0,8.99,3.244395833
18,46,35.19333333,0,16.2,4.321020833,0,8.5,3.241958333
20.75,46.25,34.76333333,0,12.68,4.223791667,0,9.39,3.288270833
21.5,51,34.9358125,0,12.21,4.11575,0,10.21,3.280020833
18.33,47.67,34.33304167,0,12.48,4.396958333,0,8.01,3.261583333
18.33,45.75,34.599875,0,15.37,4.398833333,0,8.86,3.289541667
15.5,43.67,34.225875,0,17.24,4.3545,0,9.42,3.479541667
21.5,51.25,34.25352083,0,13.55,4.457895833,0,8.32,3.50075
19.5,45.33,33.586875,0,14.67,4.5765625,0,8.32,3.259729167
19.75,45.5,34.32275,0,13.47,4.456333333,0,9.67,3.4325625
19.5,46,34.54622917,0,12.47,4.371958333,0,10,3.338125
23.5,46.25,34.87322917,0,14.82,4.380583333,0,9.51,3.424645833
19.25,44,34.4731875,0,13.86,4.3593125,0.43,9,3.340458333